;Country_ID;city;EWP;coorX;coordY;Continent_Name;Country_Name
1568;USA;OK McAlester;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/OK/USA_OK_McAlester.Rgnl.AP.723566_TMY3/USA_OK_McAlester.Rgnl.AP.723566_TMY3.epw;-95.78;34.9;North America;United States of America
1569;USA;OK Vance;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/OK/USA_OK_Vance.AFB.723535_TMY3/USA_OK_Vance.AFB.723535_TMY3.epw;-97.92;36.33;North America;United States of America
1570;USA;OK Oklahoma;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/OK/USA_OK_Oklahoma.City-Will.Rogers.World.AP.723530_TMY/USA_OK_Oklahoma.City-Will.Rogers.World.AP.723530_TMY.epw;-97.6;35.4;North America;United States of America
1571;USA;OK Tulsa;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/OK/USA_OK_Tulsa.Intl.AP.723560_TMY/USA_OK_Tulsa.Intl.AP.723560_TMY.epw;-95.9;36.2;North America;United States of America
1572;USA;OK Altus;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/OK/USA_OK_Altus.AFB.723520_TMY3/USA_OK_Altus.AFB.723520_TMY3.epw;-99.27;34.65;North America;United States of America
1573;USA;OK Hobart;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/OK/USA_OK_Hobart.Muni.AP.723525_TMY3/USA_OK_Hobart.Muni.AP.723525_TMY3.epw;-99.05;35.0;North America;United States of America
1574;USA;OK Ponca;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/OK/USA_OK_Ponca.City.Muni.AP.723546_TMY3/USA_OK_Ponca.City.Muni.AP.723546_TMY3.epw;-97.49;36.61;North America;United States of America
1575;USA;OK Gage;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/OK/USA_OK_Gage.AP.723527_TMY3/USA_OK_Gage.AP.723527_TMY3.epw;-99.77;36.3;North America;United States of America
1576;USA;OK Tulsa;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/OK/USA_OK_Tulsa.Intl.AP.723560_TMY3/USA_OK_Tulsa.Intl.AP.723560_TMY3.epw;-95.88;36.2;North America;United States of America
1577;USA;OK Oklahoma;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/OK/USA_OK_Oklahoma.City-Tinker.AFB.723540_TMY3/USA_OK_Oklahoma.City-Tinker.AFB.723540_TMY3.epw;-97.38;35.42;North America;United States of America
1578;USA;OK Lawton;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/OK/USA_OK_Lawton.Muni.AP.723575_TMY3/USA_OK_Lawton.Muni.AP.723575_TMY3.epw;-98.42;34.57;North America;United States of America
1579;USA;OK Clinton;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/OK/USA_OK_Clinton.Sherman.AP.723526_TMY3/USA_OK_Clinton.Sherman.AP.723526_TMY3.epw;-99.2;35.33;North America;United States of America
1580;USA;OK Stillwater;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/OK/USA_OK_Stillwater.Rgnl.AP.723545_TMY3/USA_OK_Stillwater.Rgnl.AP.723545_TMY3.epw;-97.08;36.15;North America;United States of America
1581;USA;OK Oklahoma;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/OK/USA_OK_Oklahoma.City-Wiley.Post.Field.723544_TMY3/USA_OK_Oklahoma.City-Wiley.Post.Field.723544_TMY3.epw;-97.65;35.53;North America;United States of America
1582;USA;OK Oklahoma;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/OK/USA_OK_Oklahoma.City.723530_TMY2/USA_OK_Oklahoma.City.723530_TMY2.epw;-97.6;35.4;North America;United States of America
1583;USA;OK Tulsa;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/OK/USA_OK_Tulsa.723560_TMY2/USA_OK_Tulsa.723560_TMY2.epw;-95.9;36.2;North America;United States of America
1584;USA;OK Oklahoma;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/OK/USA_OK_Oklahoma.City-Will.Rogers.World.AP.723530_TMY3/USA_OK_Oklahoma.City-Will.Rogers.World.AP.723530_TMY3.epw;-97.6;35.38;North America;United States of America
1585;USA;OK Fort;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/OK/USA_OK_Fort.Sill-Henry.Post.AAF.723550_TMY3/USA_OK_Fort.Sill-Henry.Post.AAF.723550_TMY3.epw;-98.4;34.65;North America;United States of America
1586;USA;OK Bartlesville-Phillips;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/OK/USA_OK_Bartlesville-Phillips.Field.723565_TMY3/USA_OK_Bartlesville-Phillips.Field.723565_TMY3.epw;-96.02;36.77;North America;United States of America
1587;USA;NY Syracuse;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_Syracuse.725190_TMY2/USA_NY_Syracuse.725190_TMY2.epw;-76.12;43.12;North America;United States of America
